Event ID,Last Name,First Name,Country,Title,Citation,Notes,,,,,,,
ConfA,Akpabio,Ibanga Udo,USA,,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Albach,Mrs. Emma S.,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Anthony,Frank,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Atlas,Seymour,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Bachrach,Marion,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Barnes,Leonard,,council member,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Bass,Mrs. Charlotta A.,,council member,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Batro,V. K.,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Bell,Y. W.,,bishop/council member,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Bennett,Gwendolyn,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Bethune,Mary McLeod,USA,charirman of National Council of Negro Women,"Geiss The Pan African Movement, 382",,,Citation for country: Mary McLeod Bethune: Building a Better World : Essays and Selected Documents,,,,,
ConfA,Bokwe,Dr. R. T. ,,council member,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Bolton,Albert,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Boutte,Mrs. Etnah,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Boutte,Matthew,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Brill,Elsie,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Brisbane,Arthur,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Broner,Lida N.,,council member,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Brown,Charlotte Hawkins,,council member,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Brown,Mayme,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Brown,Ruth,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Brown,Rev. William H.,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Bryan,George,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Buckmaster,Henrietta,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Buford,Fannie,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Campbell,Charles,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Carpenter,Dr. George,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Carter,Mrs. E. C.,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Carter,Mrs. Eunice H.,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Chamberlain,Prof. J. P.,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
ConfA,Chellis,Joyce M.,,participant,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,
