Event ID,Event,Dates,Locations,Notes,,,
1PanConf,First Pan-African Conference,1900-07-23 to 1900-07-25,"London, Westminster Town Hall",,,,
1URCong,First Universal Races Congress,1911-07-26 to 1911-07-29,"London, University of London",,,,
1PanCong,First Pan-African Congress,1919-02-19 to 1919-02-21,"Paris, Grand Hotel, Boulevard des Capucines",,,,
2PanCong,Second Pan-African Congress,1921 several sessions,London; Brussels; Paris,"113 delegates from 26 different groups including Africa, West Indies, Europe, US per Du Bois, In Battle 12",,,
3PanCong,Third Pan-African Congress,Nov-23,London; Lisbon,11 countries represented,,,
4PanCong,Fourth Pan-African Congress,1927-08-21 to 1927-08-24,New York,208 delegates from 11 countries and 22 US states,,,
5PanCong,Fifth Pan-African Congress,1945-10-17 to 1945-10-19,"Charlton Town Hall, Manchester",,,,
6PanCong,Sixth Pan-African Congress,1974,Dar es Salaam,,,,
7PanCong,Seventh Pan-African Congress,1994,Kampala,,,,
8PanCong,Eighth Pan-African Congress,2014,Johannasburg,,,,
1AAWConf,First Afro-Asian Writers' Conference,1958-10,Tashkent,,,,
2AAWConf,Second Afro-Asian Writers' Conference,1962-02,Cairo,,,,
3AAWConf,Third Afro-Asian Writers' Conference,1967-03,Beirut,,,,
4AAWConf,Fourth Afro-Asian Writers' Conference,1970-11,New Delhi,,,,
5AAWConf,Fifth Afro-Asian Writers' Conference,1973-09,Almaty,,,,
6AAWConf,Sixth Afro-Asian Writers' Conference,1979-06,Luanda ,,,,
AAConfBandung,Afro-Asian Conference (Bandung Conference),1955-04-18 to 1955-04-24,Bandung,,,,
AAPSC1,Afro-Asian People's Solidarity Conference,1957-09,Cairo,,,,
AAPSC2,Second Afro-Asian People's Solidarity Conference,1960,Guinea-Conakry,Fanon spoke; Make sure this isn't same as Second Afro-Asian Writers Conf? ,,,
,Conference of Heads of State or Government of Non-Aligned Countries,1961-09,Belgrade,,,,
,Asian-African Summit 2005,2005-04-20 to 2005-04-24,Bandung,"50th anniversary of Bandung, used to launch New African-Asian Strategic Partnership",,,
