Last Name,First Name,Country,Occupation,Event ID 1,Event ID 1 Citations ,Event ID 2,Event ID 2 Citations,Event ID 3,Event ID 3 Citations,Event ID 4,Event ID 4 Citations,Event ID 5,Event ID 5 Citations ,Event ID 6,Event ID 6 Ciation,Event ID 7,Event ID 7 Citation
A. Doak Barnett,,United States,journalist,AAConfBandung,,,,,,,,,,,,,
A. Rashid Ibrahim,,Pakistan,Government minister,AAConfBandung,,,,,,,,,,,,,
Abashidze,Iraklii,Georgia,Poet; Politician,1AAWConf,Literary Scholar,,,,,,,,,,,,
Abbas,Abdul Majib,Iraq,Professor; Government Minister,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abbu,Abdel Hafez,Nigeria,,1AAWConf,,,,,,,,,,,,,
Abd Al-Karim Said Karim,,Jordan,,1AAWConf,,,,,,,,,,,,,
Abd Al-Razzaq Muhi Al-Din,,Iraq,,1AAWConf,,,,,,,,,,,,,
Abdelkader,Hadj-Ali,France,from L'Ã‰toile Nord Africaine,WAC,"Adi, ""Pan-Africanism"" 197",,,,,,,,,,,,
Abdoh,Djalal,Iran ,Politician; Government Minister,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdul,Najibullah Totvaya,Afghanistan,Ambassador to UK (London),AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdul Muttalib,,Iraq,Envot to Indonesia,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdulasar Khafiz Jalandhari,,Pakistan,Poet (Urdu),1AAWConf,,,,,,,,,,,,,
Abdulgani,Roesian,Indonesia,Politician; Government Minister,"""Indonesia - Asian-African Conference Archives""",,,,,,,,,,,,,
Abdulkadir, m                                                                                                   ,Indonesia,Ambassador to Egyot,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdullahi,Ali,Somalia,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Abdulmuthalib,,Indonesia,"Functionary, Ministry of Communications",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdurrahimzai,Abdul Malik,Afghanistan,Brigadier; Acting Minister for Finance; Acting Minister for National Economy,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abel,Kingue,Cameroon,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Abrahams,Peter,South Africa,Writer,ConfLCP,"Geiss, The Pan African Movement, 387",5PanCong,"Geiss, The-Pan-African Movement, 401",PAF,"Bell et. al, W.E.B. Du Bois on Race and Culture",,,,,,,,
Abu Nosseir,Mohammed,Egypt,Deputy Minister for Commerce and Industry,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abu-Izzedin,Halim,Lebanon,Politician; Diplomat; Consul-General to Egypt,AAConfBandung,Abdulgani 61,,,,,,,,,,,,
Achille,Louis Thomas,Martinique,,1IntBW,The 1st International Conference of Negro Writers and Artists,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,
Achmed,Mohamed,India,Hindoo Students Federation of Paris,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Adamiyat,Fereydoune,Iran ,Social Historian,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Adjei,Ako,Ghana,lawyer,5PanCong,"Geiss, The Pan-African Movement, 401",,,,,,,,,,,,
Adler,Dr. Raissa,Austria,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
