Event ID,Family Name,Given or Other Name,Country,Title,Citation,Notes
2LAI,Alimard,,Persia,Communist Party of Persia,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 323",
2LAI,Amin,G. L. ,India,,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 323",
2LAI,Andrews,William H.,South Africa,South African Trade Union Congress; Furniture Workers' Association,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers."" 309",
2LAI,Annapamandanda,,India,,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 323",
2LAI,Barbusse,Henri,France,,"BrÌ_ckenhaus, Policing Transnational Protest, 154",
2LAI,Bittelman,Alexander,Soviet Union,,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers."" 318","Moved to US after WWIII, arrested during McCarthy triala"
2LAI,Boukur,,North Africa,Etoile Nord-Africaine of Paris,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 324",
2LAI,Braatoy,Bjarne,,socialist,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers"" 321",
2LAI,Bridgeman,Reginald,United Kingdom,non-communist,"Ellison, ""The League Against Imperialism (British Section)"" 17",
2LAI,Budden,Olive,,communist,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 322",
2LAI,Burns,Emile,,writer for Labour Monthly,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 319",
2LAI,Burroughs,Williana,United States,,"Adi, Pan-Africanism 198",
2LAI,Chiu-pai,ChÌ_ ,China,,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers."" 318",
2LAI,Cormon,Gabrielle,Belgium,communist; PCF,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 325 ",
2LAI,Crawfurd,Helen,United Kingdom,,"Ellison, ""The League Against Imperialism (British Section)"" 17",
2LIA,Darsono,Raden ,,,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers."" 318",
2LAI,de Keermacker,Josef,Belgium,communist; KIM ,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 325 ",
2LAI,Dimitrov,Georgi,Bulgaria,European communist,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers."" 318","used pseudonym Helmuth (Petersson, 325)"
2LAI,DÌ_nner,Josef,Germany,Communist,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 325",
2LAI,Dutt,Rajani Palme,Belgium/India,Workers' Welfare League of India,"International Communism and Transnational Solidarity, 239; Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 323",
2LAI,Einstein,Albert,Germany,Physicist,"BrÌ_ckenhaus, Policing Transnational Protest, 154",
2LAI,Ferguson,"Aitken ""Neptun""",,European communist; CGTU,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 325 ",
2LAI,Feuchtwanger,Leon,,non-communist,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 322",
2LAI,Fimmen,"Eduard ""Edo""",Holland/Mexico,non-communist,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 322",
2LAI,Flieg,Leopold,Germany,communist,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 325 ",
2LAI,Ford,James W.,United States/Soviet Union,Black Communist,"Makalani, In the Cause of Freedom 2; Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 324",Ford from US but lived in Moscow long-term
2LAI,Gorki,Maxim,,,"BrÌ_ckenhaus, Policing Transnational Protest, 154",
