Event ID,Family Name,Given or Other Name,Country,Title,Citation,Notes,
WAC,Abdelkader,Hadj-Ali,France,from L'Ìätoile Nord Africaine,"Adi, Pan-Africanism 197",,
WAC,Achmed,Mohamed  ,India,Hindoo Students Federation of Paris,"""League Against Colonial Oppression"" booklet",,
WAC,Adler,Dr. Raissa,Austria,,"""League Against Colonial Oppression"" booklet",,
WAC,Ali Mirza,Bakar,India,Hindoo Union,"""League Against Colonial Oppression"" booklet",,
WAC,Alminiana,A.,Phillipine islands,Filipino Association of Chicago,"""League Against Colonial Oppression"" booklet",,
WAC,Andrews,M.   ,South Africa,secretary South African Trade Union,"""League Against Colonial Oppression"" booklet",,
WAC,Assadoff,Ahmed,Persia,Persian Revolutionary Republican Party,"""League Against Colonial Oppression"" booklet",,
WAC,Bachmann,Otto,Germany,Member of the Reichstag,"""League Against Colonial Oppression"" booklet",,
WAC,"Baldwin
",Roger,"United States
","Lawyer, American Civil Liberties Union","Makalani, In the Cause of Freedom, 139",,
WAC,Barbusse,Henri,France,Novelist; communist,"Makalani, ""An Incessant Struggle"" 188; ""League Against Colonial Oppression"" booklet",,
WAC,Barkatullah,Maulavi,United States; India,Hindustan Gadar Party,"Makalani, ""An Incessant Struggle"" 187; ""League Against Colonial Oppression"" booklet",,
WAC,Beran,L.,Czechoslovakia,secretary of the Workers International Relief,"""League Against Colonial Oppression"" booklet",,
WAC,Berthon,AndrÌ¬,France,member of the Paris City Council,"""League Against Colonial Oppression"" booklet",,
WAC,Bertrand,Russell,,,"""League Against Colonial Oppression"" booklet",,
WAC,Bey el Dschabri,Ihann,Syria,National Syrian Committee,"""League Against Colonial Oppression"" booklet",,
WAC,Bhat,Dr.,India,Hindoo Workers Welfare Lounge,"""League Against Colonial Oppression"" booklet",,
WAC,Bloncourt,"Max
",Guadeloupe,,"Makalani, ""An Incessant Struggle"" 188",,
WAC,Brailsford,H. N. ,United Kingdom,Independent Labour Party,"""League Against Colonial Oppression"" booklet",,
WAC,Bridgeman,Reginald,United Kingdom,League Against Colonial Oppression,"""League Against Colonial Oppression"" booklet",,
WAC,Brown,William Montgomery,,bishop,"""League Against Colonial Oppression"" booklet",,
WAC,Casabona,Luis,Puerto Rico,writer and publicist,"""League Against Colonial Oppression"" booklet",,
WAC,Casely-Hayford,Joseph,Ghana,"Lawyer
","Makalani, ""An Incessant Struggle"" 187",Did he attend? The National Congress of British West Africa was supposed to send delegates.,
WAC,Ch'ao-ting,Chi,United States,Communist,"Makalani, In the Cause of Freedom, 139",Chinese-American,
WAC,Chai,H.,China,Chinese Chambers of Commerce,"""League Against Colonial Oppression"" booklet",,
WAC,Challaye,FÌ©licien,France,member of the Institut de France,"""League Against Colonial Oppression"" booklet",,
WAC,Chao,Chi li,China,Kwangtang Provincial Labor Federation,"""League Against Colonial Oppression"" booklet",,
WAC,Chattopadhyaya,,India,Hindoo Journalists Federation in Europe,"""League Against Colonial Oppression"" booklet",,
WAC,Chen,S. M. ,China,Kuo Min Tang Party of China in Great Britain,"""League Against Colonial Oppression"" booklet",,
WAC,Chi Feng,Shi,China,Peking Press Association,"""League Against Colonial Oppression"" booklet",,
WAC,Ching-ling,Soong,China,Political figure,"Adi, Pan-Africanism 197",Listed as and often referred to as Madam Sun Yat-sen,
WAC,Chu,General  ,China,General Feng's forces,"""League Against Colonial Oppression"" booklet",,
WAC,Chuen,Chen ,China,Canton Labor Federation/Canton-Hongkong Strike Committe,"""League Against Colonial Oppression"" booklet",,
WAC,Chung Ling,General Lu,China,National People's Army (General Chang's forves),"""League Against Colonial Oppression"" booklet",,
WAC,Clainville-Bloncourt,Max,France,from Union Intercoloniale,"Adi, Pan-Africanism 197-198",,
WAC,Colraine,Daniel,South Africa,"South African Communist Party/South African Trade Union Congress
","Makalani, ""An Incessant Struggle"" 189; ""League Against Colonial Oppression"" booklet",White,
WAC,Cook,A. J. ,United Kingdom,Miners Federation,"""League Against Colonial Oppression"" booklet",,
